tag,count,review_reason
BST::Bone::Hematolymphoid::Intermediate::Erdheim_Chester_Disease,1,singleton_or_local_review
BST::Bone::Hematolymphoid::Intermediate::Langerhans_Cell_Histiocytosis,1,singleton_or_local_review
BST::Bone::Infectious::Other_Infections,1,singleton_or_local_review
BST::Bone::Inflammatory::Osteochondritis_Dissecans,1,singleton_or_local_review
BST::Bone::Neoplastic::Benign::Subconjunctival_Herniated_Orbital_Fat,1,singleton_or_local_review
BST::Bone::Neoplastic::GLI1_Altered_Soft_Tissue_Tumors,1,singleton_or_local_review
BST::Bone::Neoplastic::Keratin_Positive_Giant_Cell_Rich_Tumor,1,singleton_or_local_review
BST::Bone::Neoplastic::Liposclerosing_Myxofibrous_Tumor,1,singleton_or_local_review
BST::Bone::Neoplastic::Lymphangioendothelioma,1,singleton_or_local_review
BST::Bone::Neoplastic::Malignant::Carcinosarcoma,1,singleton_or_local_review
BST::Bone::Neoplastic::Malignant::Gliosarcoma,1,singleton_or_local_review
BST::Bone::Neoplastic::Malignant::Hematoma,1,singleton_or_local_review
BST::Bone::Neoplastic::Malignant::Osteocartilaginous_Loose_Bodies,1,singleton_or_local_review
BST::Bone::Neoplastic::Malignant::Primary_Intracranial_Sarcoma_DICER1_Mutant,1,singleton_or_local_review
BST::Bone::Neoplastic::Malignant::Rhabdomyosarcoma_Orbit,1,singleton_or_local_review
BST::Bone::Neoplastic::Malignant::Staging_Orbital_Sarcoma,1,singleton_or_local_review
BST::Bone::Neoplastic::Malignant::Therapy_Related_B_ALL,1,singleton_or_local_review
BST::Bone::Neoplastic::Neuroma,1,singleton_or_local_review
BST::Bone::Neoplastic::Ossifying_Spindled_And_Epithelioid_Tumor_Oset,1,singleton_or_local_review
BST::Bone::Neoplastic::Perinephric_Myxoid_Pseudotumor_Of_Fat,1,singleton_or_local_review
BST::Bone::Neoplastic::Precursor::Mazabraud_Syndrome,1,singleton_or_local_review
BST::Bone::Neoplastic::Precursor::Skeletal_Dysplasias,1,singleton_or_local_review
BST::Bone::Neoplastic::Staging_GIST,1,singleton_or_local_review
BST::Bone::Neoplastic::Syndromes,1,singleton_or_local_review
BST::Bone::Neoplastic::WHO_Classification_Gi_Mesenchymal_Tumors,1,singleton_or_local_review
BST::Bone::Normal_Histology::Anatomy_Bone_And_Joints,1,singleton_or_local_review
BST::Bone::Normal_Histology::Bone_Formation_And_Growth,1,singleton_or_local_review
BST::Bone::Normal_Histology::Histology_Blood_Vessels,1,singleton_or_local_review
BST::Bone::Normal_Histology::Histology_Bone,1,singleton_or_local_review
BST::Bone::Normal_Histology::Histology_Fibrous_Tissue_And_Nerve,1,singleton_or_local_review
BST::Bone::Normal_Histology::Histology_Skeletal_Muscle,1,singleton_or_local_review
BST::Bone::Normal_Histology::Histology_Smooth_Muscle,1,singleton_or_local_review
BST::Bone::Notochordal::Benign::Benign_Notochordal_Cell_Tumor,1,singleton_or_local_review
BST::Bone::Notochordal::Malignant::Chordoma_Conventional,1,singleton_or_local_review
BST::Bone::Osteogenic::Benign::Bone_Island_Enostosis,1,singleton_or_local_review
BST::Bone::Osteogenic::Benign::Osteoblastoma,1,singleton_or_local_review
BST::Bone::Osteogenic::Benign::Osteoid_Osteoma,1,singleton_or_local_review
BST::Bone::Osteogenic::Benign::Osteoma,1,singleton_or_local_review
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Conventional,1,singleton_or_local_review
BST::Bone::Osteogenic::Malignant::Osteosarcoma_High_Grade_Surface,1,singleton_or_local_review
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Low_Grade_Central,1,singleton_or_local_review
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Parosteal,1,singleton_or_local_review
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Periosteal,1,singleton_or_local_review
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Secondary,1,singleton_or_local_review
BST::Bone::Other::Benign::Fibrous_Dysplasia,1,singleton_or_local_review
BST::Bone::Other::Benign::Osteofibrous_Dysplasia,1,singleton_or_local_review
BST::Bone::Other::Intermediate::Adamantinoma_Classic,1,singleton_or_local_review
BST::Bone::Other::Malignant::Undifferentiated_Pleomorphic_Sarcoma_Bone,1,singleton_or_local_review
BST::Bone::Other_Mesenchymal::Bone_Metastases,1,singleton_or_local_review
BST::Bone::Reactive::Infectious::Osteomyelitis_Acute,1,singleton_or_local_review
BST::Bone::Reactive::Infectious::Osteomyelitis_Chronic,1,singleton_or_local_review
BST::Bone::Reactive::Metabolic::Osteopetrosis,1,singleton_or_local_review
BST::Bone::Reactive::Metabolic::Osteoporosis,1,singleton_or_local_review
BST::Bone::Reactive::Metabolic::Paget_Disease,1,singleton_or_local_review
BST::Bone::Reactive::Metabolic::Rickets_Osteomalacia,1,singleton_or_local_review
BST::Bone::Reactive::Structural::Fracture_Callus,1,singleton_or_local_review
BST::Bone::Reactive::Structural::Osteonecrosis_Avascular_Necrosis,1,singleton_or_local_review
BST::Bone::Vascular::Benign::Hemangioma_Of_Bone,1,singleton_or_local_review
BST::Joint::Concept::Classification::Synovial_And_Tenosynovial_Chondromatosis,1,singleton_or_local_review
BST::Other::Concept::Classification::WHO_Classification,1,singleton_or_local_review
BST::Other::Concept::Molecular_Genetics::Soft_Tissue_And_Bone_Molecular,1,singleton_or_local_review
BST::Other::Concept::Staging::Staging,1,singleton_or_local_review
BST::Other::Concept::Staging::Staging_Softtissuestagingabdomen,1,singleton_or_local_review
BST::Other::Concept::Staging::Staging_Softtissuestagingheadneck,1,singleton_or_local_review
BST::Other::Concept::Staging::Staging_Softtissuestagingretroperitoneum,1,singleton_or_local_review
BST::Other::Concept::Staging::Staging_Softtissuestagingtrunkextremities,1,singleton_or_local_review
BST::Other::Concept::Staging::Staging_Softtissuestagingunusual,1,singleton_or_local_review
BST::Other::Inflammatory::Pseudotumor_Funiculitis,1,singleton_or_local_review
BST::Other::Inflammatory::Tuberculous_Osteomyelitis,1,singleton_or_local_review
BST::Other::Neoplastic::Benign::Xanthoma,1,singleton_or_local_review
BST::Other::Neoplastic::Hemangioma_And_Variants,1,singleton_or_local_review
BST::Other::Neoplastic::Malignant::Sarcomatoid,1,singleton_or_local_review
BST::Other::Normal_Histology::Cartilaginous_Rest,1,singleton_or_local_review
BST::Round_Cell_Sarcomas::Sarcoma_with_BCOR_Genetic_Alterations,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Benign::Angiolipoma,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Benign::Hibernoma,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Benign::Lipoblastoma_Lipoblastomatosis,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Chondroid,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Conventional,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Spindle_Cell_Pleomorphic,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Benign::Lipomatosis_Of_Nerve,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Benign::Myolipoma_Of_Soft_Tissue,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Spindle_Cell_Pleomorphic_Lipomatous_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Lipomatosis,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Malignant::Dedifferentiated_Liposarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Malignant::Myxoid_Liposarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Malignant::Myxoid_Pleomorphic_Liposarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Malignant::Pleomorphic_Liposarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Adipocytic::Myolipoma_of_Soft_Tissue,1,singleton_or_local_review
BST::Soft_Tissue::ChondroOsseous::Extraskeletal_Osteosarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Congenital_Structural::Cyst::Aneurysmal_Bone_Cyst_Of_Soft_Tissue,1,singleton_or_local_review
BST::Soft_Tissue::Congenital_Structural::Hamartoma::Ectopic_Meningioma_And_Meningothelial_Hamartoma,1,singleton_or_local_review
BST::Soft_Tissue::Congenital_Structural::Hamartoma::Fibrous_Hamartoma_Of_Infancy,1,singleton_or_local_review
BST::Soft_Tissue::Congenital_Structural::Malformation::Massive_Localized_Lymphedema,1,singleton_or_local_review
BST::Soft_Tissue::Depositional_Metabolic::Deposition::Tumoral_Calcinosis,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Acral_Fibromyxoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Angiomyofibroblastoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Calcifying_Aponeurotic_Fibroma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Calcifying_Fibrous_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Cellular_Angiofibroma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Desmoplastic_Fibroblastoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Elastofibroma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Fibroma_Of_Tendon_Sheath,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Fibromatosis_Colli,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Gardner_Fibroma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Inclusion_Body_Fibromatosis,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Juvenile_Hyaline_Fibromatosis,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Myofibroblastoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Nodular_Fasciitis,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Nuchal_Type_Fibroma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Benign::Pleomorphic_Fibroma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::Desmoid_Type_Fibromatosis,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::EWSR1_SMAD3_Fibroblastic_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::Giant_Cell_Fibroblastoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::Infantile_Fibrosarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::Inflammatory_Myofibroblastic_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::Lipofibromatosis,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::Low_Grade_Myofibroblastic_Sarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::Myxoinflammatory_Fibroblastic_Sarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::Palmar_Plantar_Fibromatosis,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::Solitary_Fibrous_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Intermediate::Superficial_CD34_Positive_Fibroblastic_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Malignant::Low_Grade_Fibromyxoid_Sarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibroblastic::Malignant::Sclerosing_Epithelioid_Fibrosarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibrohistiocytic::Benign::Dermatofibroma_Fibrous_Histiocytoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibrohistiocytic::Benign::Plexiform_Fibrohistiocytic_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Angiomatoid_Fibrous_Histiocytoma,1,singleton_or_local_review
BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Giant_Cell_Tumor_Of_Soft_Tissue,1,singleton_or_local_review
BST::Soft_Tissue::GIST_Visceral::Intermediate::GIST_Risk_Stratified,1,singleton_or_local_review
BST::Soft_Tissue::Hematolymphoid::Malignant::Follicular_Dendritic_Cell_Sarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Hematolymphoid::Malignant::Histiocytic_Sarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Hematolymphoid::Malignant::Myeloid_Sarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Inflammatory::Acute_Chronic::Ischemic_Fasciitis,1,singleton_or_local_review
BST::Soft_Tissue::Inflammatory::Acute_Chronic::Necrotizing_Fasciitis,1,singleton_or_local_review
BST::Soft_Tissue::Inflammatory::Acute_Chronic::Proliferative_Fasciitis,1,singleton_or_local_review
BST::Soft_Tissue::Inflammatory::Acute_Chronic::Proliferative_Myositis,1,singleton_or_local_review
BST::Soft_Tissue::Mesothelial::Malignant::Malignant_Mesothelioma,1,singleton_or_local_review
BST::Soft_Tissue::Nerve_Sheath::Benign::Benign_Triton_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Nerve_Sheath::Benign::Dermal_Nerve_Sheath_Myxoma,1,singleton_or_local_review
BST::Soft_Tissue::Nerve_Sheath::Benign::Granular_Cell_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Nerve_Sheath::Benign::Hybrid_Nerve_Sheath_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Nerve_Sheath::Benign::Neurofibroma_Plexiform,1,singleton_or_local_review
BST::Soft_Tissue::Nerve_Sheath::Benign::Perineurioma_Soft_Tissue,1,singleton_or_local_review
BST::Soft_Tissue::Nerve_Sheath::Benign::Schwannoma_Conventional,1,singleton_or_local_review
BST::Soft_Tissue::Nerve_Sheath::Benign::Solitary_Circumscribed_Neuroma,1,singleton_or_local_review
BST::Soft_Tissue::Nerve_Sheath::Malignant::Malignant_Melanotic_Nerve_Sheath_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Pericytic::Benign::Angioleiomyoma,1,singleton_or_local_review
BST::Soft_Tissue::Pericytic::Benign::Glomus_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Skeletal_Muscle::Benign::Rhabdomyoma_Adult,1,singleton_or_local_review
BST::Soft_Tissue::Skeletal_Muscle::Intermediate::Inflammatory_Rhabdomyoblastic_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Skeletal_Muscle::Malignant::Alveolar_Rhabdomyosarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Skeletal_Muscle::Malignant::Ectomesenchymoma,1,singleton_or_local_review
BST::Soft_Tissue::Skeletal_Muscle::Malignant::Embryonal_Rhabdomyosarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Skeletal_Muscle::Malignant::Pleomorphic_Rhabdomyosarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Skeletal_Muscle::Malignant::Spindle_Cell_Sclerosing_Rhabdomyosarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Smooth_Muscle::Benign::EBV_Associated_Smooth_Muscle_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Smooth_Muscle::Leiomyoma,1,singleton_or_local_review
BST::Soft_Tissue::Smooth_Muscle::Malignant::Leiomyosarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Benign::Cellular_Neurothekeoma,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Benign::Intramuscular_Myxoma,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Benign::Juxta_Articular_Myxoma,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Intermediate::Mixed_Tumor_Myoepithelioma,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Intermediate::Ossifying_Fibromyxoid_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Intermediate::Phosphaturic_Mesenchymal_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Intermediate::Pleomorphic_Hyalinizing_Angiectatic_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Malignant::Desmoplastic_Small_Round_Cell_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Malignant::Epithelioid_Sarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Malignant::Extrarenal_Rhabdoid_Tumor,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Malignant::Extraskeletal_Myxoid_Chondrosarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Malignant::PEComa_Malignant,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Malignant::Primary_Pulmonary_Myxoid_Sarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Malignant::Synovial_Sarcoma_Monophasic,1,singleton_or_local_review
BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Round_Cell_Sarcoma_Ewing,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Benign::Anastomosing_Hemangioma,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Benign::Hemangioma_Intramuscular,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Benign::Hemangioma_Venous,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Benign::Papillary_Endothelial_Hyperplasia,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Benign::Spindle_Cell_Hemangioma,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Intermediate::Composite_Hemangioendothelioma,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Intermediate::Kaposi_Sarcoma,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Intermediate::Kaposiform_Hemangioendothelioma,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Intermediate::Papillary_Intralymphatic_Angioendothelioma,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Intermediate::Retiform_Hemangioendothelioma,1,singleton_or_local_review
BST::Soft_Tissue::Vascular::Malignant::Intimal_Sarcoma,1,singleton_or_local_review
BST::Syndromes::Predisposition::Skeletal::McCune_Albright_Syndrome,1,singleton_or_local_review
Breast::Concept::Classification::Axillary_Lymph_Nodes,1,singleton_or_local_review
Breast::Concept::Classification::HER2_Ultralow_Breast_Cancer,1,singleton_or_local_review
Breast::Concept::Classification::Male_Invasive,1,singleton_or_local_review
Breast::Concept::Classification::Pubertal_Macromastia,1,singleton_or_local_review
Breast::Concept::Classification::Triple_Negative_Breast_Cancer,1,singleton_or_local_review
Breast::Concept::Classification::WHO_Classification,1,singleton_or_local_review
Breast::Concept::Grading::Histologic_Grading,1,singleton_or_local_review
Breast::Concept::Grading::Low_Grade_Adenosquamous,1,singleton_or_local_review
Breast::Concept::IHC_Markers::Sebaceous,1,singleton_or_local_review
Breast::Concept::Management_Workup::Antibody_Drug_Conjugate_Therapy,1,singleton_or_local_review
Breast::Concept::Management_Workup::Hormone_Receptors,1,singleton_or_local_review
Breast::Concept::Management_Workup::Immunotherapy,1,singleton_or_local_review
Breast::Concept::Management_Workup::Neoadjuvant_Chemotherapy,1,singleton_or_local_review
Breast::Concept::Management_Workup::Radiation_Therapy_And_Cryoprobe,1,singleton_or_local_review
Breast::Concept::Management_Workup::Secretory_Change,1,singleton_or_local_review
Breast::Concept::Management_Workup::Subareolar_Sclerosing_Duct_Hyperplasia,1,singleton_or_local_review
Breast::Concept::Molecular_Genetics::Foreign_Body_Reaction,1,singleton_or_local_review
Breast::Concept::Molecular_Genetics::HER2_C_ERBB2_Breast,1,singleton_or_local_review
Breast::Concept::Molecular_Genetics::Molecular_Subtypes,1,singleton_or_local_review
Breast::Concept::Other::Filariasis,1,singleton_or_local_review
Breast::Concept::Procedure_Specimen::Biopsy_Marking_Devices,1,singleton_or_local_review
Breast::Concept::Procedure_Specimen::Core_Biopsy,1,singleton_or_local_review
Breast::Concept::Procedure_Specimen::Frozen_Sections,1,singleton_or_local_review
Breast::Concept::Reporting_Grossing::Grossing_And_Features_To_Report,1,singleton_or_local_review
Breast::Concept::Reporting_Grossing::Lipid_Rich,1,singleton_or_local_review
Breast::Concept::Staging::Staging,1,singleton_or_local_review
Breast::Congenital_Structural::Amastia_Aplasia_Hypoplasia_Athelia,1,singleton_or_local_review
Breast::Congenital_Structural::Apocrine_Metaplasia,1,singleton_or_local_review
Breast::Congenital_Structural::Benign_Breast_Implant_Related_Changes,1,singleton_or_local_review
Breast::Congenital_Structural::Cyst::Fibrocystic_Changes,1,singleton_or_local_review
Breast::Congenital_Structural::Cyst::Galactocele,1,singleton_or_local_review
Breast::Congenital_Structural::Malformation::Accessory_Breast_Tissue,1,singleton_or_local_review
Breast::Congenital_Structural::Malformation::Gynecomastia,1,singleton_or_local_review
Breast::Congenital_Structural::Malformation::Juvenile_Papillomatosis,1,singleton_or_local_review
Breast::Congenital_Structural::Mechanical::Mammary_Duct_Ectasia,1,singleton_or_local_review
Breast::Congenital_Structural::Microcysts,1,singleton_or_local_review
Breast::Depositional_Metabolic::Amyloid,1,singleton_or_local_review
Breast::Epithelial::Ductal_Adenoma,1,singleton_or_local_review
Breast::Epithelial::Ductal_Carcinoma::Cribriform_Carcinoma,1,singleton_or_local_review
Breast::Epithelial::Ductal_Carcinoma::Tubular_Carcinoma,1,singleton_or_local_review
Breast::Epithelial::Lactating_Adenoma,1,singleton_or_local_review
Breast::Epithelial::Microglandular_Adenosis,1,singleton_or_local_review
Breast::Epithelial::MyoEpithelial::Pleomorphic_Adenoma,1,singleton_or_local_review
Breast::Epithelial::Radial_Scar_complex_sclerosing_lesion,1,singleton_or_local_review
Breast::Epithelial::Salivary_Tumors::Acinic_Cell_Carcinoma,1,singleton_or_local_review
Breast::Epithelial::Salivary_Tumors::Mucoepidermoid_Carcinoma,1,singleton_or_local_review
Breast::Epithelial::Salivary_Tumors::Polymorphous_Adenocarcinoma,1,singleton_or_local_review
Breast::Epithelial::Tubular_Adenoma,1,singleton_or_local_review
Breast::Epithelial::Usual_Ductal_Hyperplasia,1,singleton_or_local_review
Breast::FibroEpithelial::Hamartoma,1,singleton_or_local_review
Breast::Infectious::Bacterial::Acute_Mastitis,1,singleton_or_local_review
Breast::Infectious::Smold,1,singleton_or_local_review
Breast::Infectious::Sparganosis,1,singleton_or_local_review
Breast::Infectious::Tuberculosis,1,singleton_or_local_review
Breast::Inflammatory::Fibrosing::Lymphocytic_Diabetic_Mastitis,1,singleton_or_local_review
Breast::Inflammatory::Fibrosing::Sclerosing_Adenosis,1,singleton_or_local_review
Breast::Inflammatory::Granulomatous::Cystic_Neutrophilic_Granulomatous_Mastitis,1,singleton_or_local_review
Breast::Inflammatory::Granulomatous::Idiopathic_Granulomatous_Mastitis,1,singleton_or_local_review
Breast::Inflammatory::Osteoclast,1,singleton_or_local_review
Breast::Inflammatory::Reactive::Fat_Necrosis,1,singleton_or_local_review
Breast::Inflammatory::Reactive::Mucocele_Like_Lesion,1,singleton_or_local_review
Breast::Inflammatory::Silicone_Leak_Lymphadenopathy,1,singleton_or_local_review
Breast::Mesenchymal::Fibroblastic_Tumors::Myofibroblastoma,1,singleton_or_local_review
Breast::Mesenchymal::Nerve_Tumors::Granular_Cell_Tumor,1,singleton_or_local_review
Breast::Mesenchymal::Other_Mesenchymal::Pseudoangiomatous_Stromal_Hyperplasia,1,singleton_or_local_review
Breast::Mesenchymal::Smooth_Tumors::Leiomyoma,1,singleton_or_local_review
Breast::Mesenchymal::Vascular_Tumors::Atypical_Vascular_Lesions,1,singleton_or_local_review
Breast::Neoplastic::Adenomyoepithelial_Adenosis,1,singleton_or_local_review
Breast::Neoplastic::Adenosis,1,singleton_or_local_review
Breast::Neoplastic::Benign::Epithelial_Mesothelial_Inclusions,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::Benign::Apocrine_Adenosis,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::Benign::Collagenous_Spherulosis,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::Benign::Intraductal_Papilloma,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::Benign::Myoepithelioma,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::Benign::Nipple_Adenoma,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::Benign::Syringomatous_Tumor,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::In_Situ::Ductal_Carcinoma_In_Situ_DCIS,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::In_Situ::Florid_Lobular_Carcinoma_In_Situ,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::In_Situ::Pleomorphic_Lobular_Carcinoma_In_Situ,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::Malignant::Adenoid_Cystic_Carcinoma,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::Malignant::Apocrine_Carcinoma,1,singleton_or_local_review
Breast::Neoplastic::Epithelial::Malignant::Encapsulated_Papillary_Carcinoma,1,singleton_or_local_review
