video_id,title,root,package_id,topic_count,segment_count,video_url,topic_tags
Breast_Lecture_IHC,Breast Lecture IHC,Breast,breast_lecture_ihc_v0_1,4,6,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_IHC.mp4,Breast::Neoplastic::Epithelial::In_Situ::Ductal_Carcinoma_In_Situ_DCIS | Breast::Neoplastic::Epithelial::In_Situ::Lobular_Carcinoma_In_Situ_LCIS | Breast::Neoplastic::Epithelial::Malignant::Micropapillary_Carcinoma | Breast::Neoplastic::Epithelial::Malignant::Myoepithelial_Carcinoma
Breast_Lecture_Invasive,Breast Lecture Invasive,Breast,breast_lecture_invasive_v0_1,2,5,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Invasive.mp4,Breast::Neoplastic::Epithelial::Malignant::Invasive_Lobular_Carcinoma | Breast::Neoplastic::Epithelial::Malignant::Mucinous_Carcinoma
Breast_Lecture_Lobular,Breast Lecture Lobular,Breast,breast_lecture_lobular_v0_1,3,20,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Lobular.mp4,Breast::Neoplastic::Epithelial::Precursor::Atypical_Lobular_Hyperplasia_ALH | Breast::Neoplastic::Epithelial::In_Situ::Florid_Lobular_Carcinoma_In_Situ | Breast::Neoplastic::Epithelial::In_Situ::Lobular_Carcinoma_In_Situ_LCIS
Breast_Lecture_Papillary,Breast Lecture Papillary,Breast,breast_lecture_papillary_v0_1,5,12,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Papillary.mp4,Breast::Neoplastic::Epithelial::In_Situ::Ductal_Carcinoma_In_Situ_DCIS | Breast::Neoplastic::Epithelial::Malignant::Encapsulated_Papillary_Carcinoma | Breast::Epithelial::Papillary_Neoplasms::Invasive_Papillary_Carcinoma | Breast::Neoplastic::Epithelial::Malignant::Micropapillary_Carcinoma | Breast::Neoplastic::Epithelial::Malignant::Solid_Papillary_Carcinoma
Breast_Lecture_Prognostics,Breast Lecture Prognostics,Breast,breast_lecture_prognostics_v0_1,3,3,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Prognostics.mp4,Breast::Neoplastic::Epithelial::In_Situ::Ductal_Carcinoma_In_Situ_DCIS | Breast::Neoplastic::Epithelial::Malignant::Microinvasive_Carcinoma | Breast::Neoplastic::Epithelial::Malignant::Mucinous_Carcinoma
Breast_Lecture_Rad-Path,Breast Lecture Rad-Path,Breast,breast_lecture_rad_path_v0_1,8,10,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Rad-Path.mp4,Breast::Neoplastic::Epithelial::Precursor::Atypical_Ductal_Hyperplasia_ADH | Breast::Neoplastic::Epithelial::In_Situ::Ductal_Carcinoma_In_Situ_DCIS | Breast::Congenital_Structural::Mechanical::Epithelial_Displacement_Biopsy_Site | Breast::Neoplastic::Epithelial::Precursor::Flat_Epithelial_Atypia | Breast::Neoplastic::Epithelial::In_Situ::Lobular_Carcinoma_In_Situ_LCIS | Breast::Neoplastic::Epithelial::Malignant::Micropapillary_Carcinoma | Breast::Neoplastic::Epithelial::Malignant::Mucinous_Carcinoma | Breast::Inflammatory::Reactive::Mucocele_Like_Lesion
Breast_Lecture_SpindleCell,Breast Lecture SpindleCell,Breast,breast_lecture_spindlecell_v0_1,3,15,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_SpindleCell.mp4,Breast::Neoplastic::Epithelial::Malignant::Metaplastic_Carcinoma | Breast::Neoplastic::Fibroepithelial::Variable_Behavior::Phyllodes_Tumor | Breast::Mesenchymal::Vascular_Tumors::Primary_Angiosarcoma_of_the_Breast
Breast_Lecture_Treated,Breast Lecture Treated,Breast,breast_lecture_treated_v0_1,1,2,https://storage.googleapis.com/pathology-hub-0/source_videos/Breast_Lecture_Treated.mp4,Breast::Neoplastic::Epithelial::In_Situ::Ductal_Carcinoma_In_Situ_DCIS
YT_Cyto_Cervical_Goulart,YT Cyto Cervical Goulart,Cytopathology,yt_cyto_cervical_goulart_v0_1,2,3,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Cervical_Goulart.mp4,Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endocervical_Mesonephric | Cyto_GYN::Glandular::Atypical_Endocervical_Cells_Favor_Neoplastic
YT_Cyto_Cervix_Giovanni,YT Cyto Cervix Giovanni,Cytopathology,yt_cyto_cervix_giovanni_v0_1,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Cervix_Giovanni.mp4,Cyto_GYN::Squamous::Atypical_Squamous_Cells_Undetermined_Significance_ASCUS | Cyto_Management::Ancillary_Testing::HPV_Testing
YT_Cyto_Lung_Lozano,YT Cyto Lung Lozano,Cytopathology,yt_cyto_lung_lozano_v0_1,4,9,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Lung_Lozano.mp4,Cyto_Management::Technique::Endoscopic_Ultrasound_Guided_Fine_Needle_Aspiration_EUS_FNA | Cyto_Management::Ancillary_Testing::Fluorescence_In_Situ_Hybridization_FISH | Cyto_Management::Ancillary_Testing::Immunocytochemistry_IHC | Cyto_Management::Technique::Rapid_On_Site_Evaluation_ROSE
YT_Cyto_Lung_Schmitt,YT Cyto Lung Schmitt,Cytopathology,yt_cyto_lung_schmitt_v0_1,4,4,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Lung_Schmitt.mp4,Cyto_Management::Technique::Endoscopic_Ultrasound_Guided_Fine_Needle_Aspiration_EUS_FNA | Cyto_Management::Ancillary_Testing::Molecular_Sequencing_BRAF_KRAS_etc | Cyto_Management::Technique::Rapid_On_Site_Evaluation_ROSE | Cyto_Thoracic::Malignant::Neuroendocrine::Carcinoid_Tumor_Atypical
YT_Cyto_Lymph_Kloboves,YT Cyto Lymph Kloboves,Cytopathology,yt_cyto_lymph_kloboves_v0_1,7,8,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Lymph_Kloboves.mp4,Cyto_Heme::Malignant::B_Cell_Small::Follicular_Lymphoma_Low_Grade | Cyto_Heme::Malignant::B_Cell_Small::Mantle_Cell_Lymphoma_Classic | Cyto_Heme::Malignant::Hodgkin::Nodular_Lymphocyte_Predominant_HL | Cyto_Heme::Malignant::B_Cell_Large::Plasmablastic_Lymphoma | Cyto_Heme::Benign_Reactive::General::Reactive_Lymphoid_Hyperplasia_Follicular | Cyto_Management::Ancillary_Testing::Flow_Cytometry | Cyto_Salivary::Pattern::Epithelial_Proliferation_With_Lymphoid_Background
YT_Cyto_Lymph_WHO_Field,YT Cyto Lymph WHO Field,Cytopathology,yt_cyto_lymph_who_field_v0_1,3,4,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Lymph_WHO_Field.mp4,Cyto_Management::Technique::Cell_Block_Preparation | Cyto_Management::Technique::Rapid_On_Site_Evaluation_ROSE | Cyto_Thyroid::Pattern::Dispersed_Hypercellular_Lymph_Node_Like
YT_Cyto_Pancreas_Cyst_Pitman,YT Cyto Pancreas Cyst Pitman,Cytopathology,yt_cyto_pancreas_cyst_pitman_v0_1,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Pancreas_Cyst_Pitman.mp4,Cyto_Pancreatobiliary::Malignant::Neuroendocrine::Neuroendocrine_Tumor_Lipid_Rich
YT_Cyto_Pancreas_Reid,YT Cyto Pancreas Reid,Cytopathology,yt_cyto_pancreas_reid_v0_1,7,10,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Pancreas_Reid.mp4,Cyto_Pancreatobiliary::Malignant::Neuroendocrine::Neuroendocrine_Tumor_Lipid_Rich | Cyto_Pancreatobiliary::Benign_Reactive::Normal::Normal_Ductal_Cells | Cyto_Pancreatobiliary::Malignant::Ductal::Pancreatic_Ductal_Adenocarcinoma_Foamy_Gland | Cyto_Pancreatobiliary::Malignant::Ductal::Pancreatic_Ductal_Adenocarcinoma_Osteoclast_Giant_Cells | Cyto_Pancreatobiliary::Malignant::Ductal::Pancreatic_Ductal_Adenocarcinoma_Undifferentiated_Anaplastic | Cyto_Pancreatobiliary::Malignant::Solid_Pseudopapillary_Neoplasm | Cyto_Pancreatobiliary::Malignant::Solid_Pseudopapillary::Solid_Pseudopapillary_Neoplasm_SPN
YT_Cyto_Paris_Bubendorf,YT Cyto Paris Bubendorf,Cytopathology,yt_cyto_paris_bubendorf_v0_1,8,11,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Paris_Bubendorf.mp4,Cyto_Management::Ancillary_Testing::Fluorescence_In_Situ_Hybridization_FISH | Cyto_Urinary::Category::Atypical_Urothelial_Cells_AUC | Cyto_Urinary::Specimen_Type::Catheterized_Urine | Cyto_Urinary::Pattern::Degenerated_Atypical_Cells | Cyto_Urinary::Category::High_Grade_Urothelial_Carcinoma_HGUC | Cyto_Urinary::Category::Low_Grade_Urothelial_Neoplasm_LGUN | Cyto_Urinary::Infectious::Viral::Polyomavirus_Decoy_Cells | Cyto_Urinary::Category::Suspicious_For_High_Grade_Urothelial_Carcinoma_SHGUC
YT_Cyto_Peds_Barroca,YT Cyto Peds Barroca,Cytopathology,yt_cyto_peds_barroca_v0_1,4,5,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Peds_Barroca.mp4,Cyto_Heme::Malignant::Metastatic::Small_Round_Blue_Cell_Tumor_Neuroblastoma | Cyto_Kidney::Malignant::Pediatric::Wilms_Tumor_Nephroblastoma | Cyto_Soft_Tissue::Malignant::Round_Cell::Ewing_Sarcoma | Cyto_Thoracic::Malignant::Other::Primary_Germ_Cell_Tumours_Mediastinum
YT_Cyto_Salivary_Chen,YT Cyto Salivary Chen,Cytopathology,yt_cyto_salivary_chen_v0_1,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Salivary_Chen.mp4,Cyto_Salivary::NonNeoplastic::Reactive::Intraparotid_Lymph_Node
YT_Cyto_Salivary_Faquin,YT Cyto Salivary Faquin,Cytopathology,yt_cyto_salivary_faquin_v0_1,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Salivary_Faquin.mp4,Cyto_Management::Technique::Endoscopic_Ultrasound_Guided_Fine_Needle_Aspiration_EUS_FNA | Cyto_Salivary::Category::Salivary_Gland_Neoplasm_Uncertain_Malignant_Potential_SUMP
YT_Cyto_Serous_Chandra,YT Cyto Serous Chandra,Cytopathology,yt_cyto_serous_chandra_v0_1,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Serous_Chandra.mp4,Cyto_Fluids::Benign_Reactive::Mesothelial::Reactive_Mesothelial_Proliferation | Cyto_Management::Ancillary_Testing::Immunocytochemistry_IHC
YT_Cyto_Thyroid_Bongiovanni,YT Cyto Thyroid Bongiovanni,Cytopathology,yt_cyto_thyroid_bongiovanni_v0_1,4,10,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Thyroid_Bongiovanni.mp4,Cyto_Management::Ancillary_Testing::Molecular_Sequencing_BRAF_KRAS_etc | Cyto_Thyroid::Category::Benign_Follicular_Nodule | Cyto_Thyroid::Category::Follicular_Neoplasm_Suspicious_FN_SFN | Cyto_Thyroid::Intermediate::Noninvasive_Follicular_Thyroid_Neoplasm_NIFTP
YT_Cyto_Thyroid_Nishino,YT Cyto Thyroid Nishino,Cytopathology,yt_cyto_thyroid_nishino_v0_1,4,8,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Thyroid_Nishino.mp4,Cyto_Management::Ancillary_Testing::Molecular_Sequencing_BRAF_KRAS_etc | Cyto_Thyroid::Category::Atypia_Undetermined_Significance_AUS_FLUS | Cyto_Thyroid::Category::Follicular_Neoplasm_Suspicious_FN_SFN | Cyto_Thyroid::Malignant::Papillary::Papillary_Thyroid_Carcinoma_Follicular_Variant
YT_Cyto_Thyroid_Rossi,YT Cyto Thyroid Rossi,Cytopathology,yt_cyto_thyroid_rossi_v0_1,4,5,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_Cyto_Thyroid_Rossi.mp4,Cyto_Thyroid::Malignant::Other::Carcinoma_Showing_Thymus_Like_Differentiation_CASTLE | Cyto_Thyroid::Other::Langerhans_Cell_Histiocytosis_Thyroid | Cyto_Thyroid::Malignant::Other::Mucoepidermoid_Carcinoma_Sclerosing | Cyto_Thyroid::Intermediate::Noninvasive_Follicular_Thyroid_Neoplasm_NIFTP
GI_Lecture_0_Gross_Liver,GI Lecture 0 Gross Liver,GI,gi_lecture_0_gross_liver_v0_1,1,3,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_0_Gross_Liver.mp4,GI::Liver::Inflammatory::Viral::Hepatic_EBV_CMV_HSV_Hepatitis
GI_Lecture_1_Liver1,GI Lecture 1 Liver1,GI,gi_lecture_1_liver1_v0_1,3,3,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_1_Liver1.mp4,GI::Stomach::Inflammatory::Gastritis::Gastric_Granulomatous_Gastritis | GI::Liver::Inflammatory::Autoimmune::Hepatic_Autoimmune_Hepatitis_Overlap_Syndromes | GI::Liver::Inflammatory::Viral::Hepatic_EBV_CMV_HSV_Hepatitis
GI_Lecture_10_Colon,GI Lecture 10 Colon,GI,gi_lecture_10_colon_v0_1,8,10,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_10_Colon.mp4,GI::Appendix::Neoplastic::Mucinous::Appendiceal_Mucinous_Adenocarcinoma_Invasive | GI::Colon::Neoplastic::Adenocarcinoma::Colonic_Adenocarcinoma_Arising_In_Adenoma | GI::Colon::Congenital_Structural::Structural::Colonic_Solitary_Rectal_Ulcer_SyndROME_Prolapse | GI::Colon::Polyp::Serrated::Colorectal_Hyperplastic_Polyp_Overview | GI::Syndrome::Polyposis::Adenomatous::Familial_Adenomatous_Polyposis_APC | GI::Colon::Polyp::Hamartoma::Juvenile_Polyp | GI::Syndrome::Polyposis::Hamartomatous::Juvenile_Polyposis_Syndrome | GI::Small_Intestine::Polyp::Hamartoma::Small_Intestinal_Peutz_Jeghers_Type_Polyp
GI_Lecture_11_Esophagus,GI Lecture 11 Esophagus,GI,gi_lecture_11_esophagus_v0_1,3,6,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_11_Esophagus.mp4,GI::Esophagus::Inflammatory::Esophagitis::Esophageal_Eosinophilic_Esophagitis | GI::Esophagus::Inflammatory::Infectious::Esophageal_Herpes_Simplex_Virus_Esophagitis | GI::Esophagus::Inflammatory::Esophagitis::Esophageal_Reflux_Esophagitis_GERD
GI_Lecture_12_SmallIntestine,GI Lecture 12 SmallIntestine,GI,gi_lecture_12_smallintestine_v0_1,8,10,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_12_SmallIntestine.mp4,GI::Small_Intestine::Neoplastic::Adenocarcinoma::Ampullary_Adenocarcinoma_Pancreatobiliary_Type | GI::GENETICS::Syndromes::Peutz_Jeghers_Syndrome | GI::Small_Intestine::Polyp::Hamartoma::Small_Intestinal_Brunner_Gland_Hamartoma | GI::Small_Intestine::Inflammatory::Malabsorption::Small_Intestinal_Celiac_Disease | GI::Small_Intestine::Neoplastic::Neuroendocrine::Small_Intestinal_Neuroendocrine_Tumor_Well_Differentiated | GI::Small_Intestine::Inflammatory::Injury::Small_Intestinal_Peptic_Duodenitis | GI::Small_Intestine::Polyp::Hamartoma::Small_Intestinal_Peutz_Jeghers_Type_Polyp | GI::Small_Intestine::Infectious::Bacterial::Small_Intestinal_Whipple_Disease
GI_Lecture_13_Stomach2,GI Lecture 13 Stomach2,GI,gi_lecture_13_stomach2_v0_1,8,13,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_13_Stomach2.mp4,GI::Stomach::Inflammatory::Gastritis::Gastric_Chronic_Helicobacter_Pylori_Gastritis | GI::Stomach::Inflammatory::Gastritis::Gastric_Collagenous_Gastritis | GI::Stomach::Inflammatory::Gastritis::Gastric_Eosinophilic_Gastritis | GI::Stomach::Inflammatory::Gastritis::Gastric_Granulomatous_Gastritis | GI::Stomach::Depositional_Metabolic::Gastric_Iron_Pill_Induced_Gastropathy | GI::Stomach::Inflammatory::Gastritis::Gastric_Lymphocytic_Gastritis_Celiac_Associated | GI::Stomach::Depositional_Metabolic::Gastric_Mucosal_Calcinosis | GI::Stomach::Neoplastic::Neuroendocrine::Gastric_Neuroendocrine_Tumor_Type_1_Autoimmune
GI_Lecture_2_Liver2,GI Lecture 2 Liver2,GI,gi_lecture_2_liver2_v0_1,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_2_Liver2.mp4,GI::Biliary::Inflammatory::Cholecystitis::Gallbladder_Cholelithiasis
GI_Lecture_3_Liver3,GI Lecture 3 Liver3,GI,gi_lecture_3_liver3_v0_1,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_3_Liver3.mp4,GI::Hepatobiliary::Benign_Hepatocellular::Focal_Nodular_Hyperplasia_of_the_Liver
GI_Lecture_4_Peds1,GI Lecture 4 Peds1,GI,gi_lecture_4_peds1_v0_1,2,7,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_4_Peds1.mp4,GI::Colon::Congenital_Structural::Aganglionosis::Colonic_Hirschsprung_Disease | GI::Small_Intestine::Congenital_Structural::Mechanical::Microvillus_Inclusion_Disease
GI_Lecture_5_Peds2,GI Lecture 5 Peds2,GI,gi_lecture_5_peds2_v0_1,3,4,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_5_Peds2.mp4,GI::General::Neoplastic::Metastatic::Carcinoma_Of_Unknown_Primary_CUP | GI::Mesenchymal::Uncertain_Diff::Embryonal_Sarcoma_of_the_Liver | GI::Mesenchymal::Vascular_Perivascular::Epithelioid_Hemangioendothelioma_prev_Vascular_Tumors_in_Liver
GI_Lecture_7_IBD,GI Lecture 7 IBD,GI,gi_lecture_7_ibd_v0_1,3,5,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_7_IBD.mp4,GI::Colon::Neoplastic::IBD_Associated::Colonic_Dysplasia_And_IBD_Related_Adenocarcinoma | GI::Colon::Inflammatory::Injury::Colonic_Medication_Induced_Enterocolitis | GI::Stomach::Inflammatory::Gastritis::Gastric_Collagenous_Gastritis
GI_Lecture_8_Pancreas,GI Lecture 8 Pancreas,GI,gi_lecture_8_pancreas_v0_1,5,10,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_8_Pancreas.mp4,GI::Pancreas::Neoplastic::Cystic::Pancreatic_Intraductal_Oncocytic_Papillary_Neoplasm_IOPN | GI::Pancreas::Neoplastic::Cystic::Pancreatic_Intraductal_Tubulopapillary_Neoplasm_ITPN | GI::Pancreas::Neoplastic::Cystic::Pancreatic_Mucinous_Cystic_Neoplasm | GI::Pancreas::Neoplastic::Cystic::Pancreatic_Simple_Mucinous_Cyst | GI::Pancreas::Neoplastic::Precursor::PanIN_Pancreatic_Intraepithelial_Neoplasia
GI_Lecture_9_Stomach1,GI Lecture 9 Stomach1,GI,gi_lecture_9_stomach1_v0_1,5,5,https://storage.googleapis.com/pathology-hub-0/source_videos/GI_Lecture_9_Stomach1.mp4,GI::Stomach::Benign_Precursors::Fundic_Gland_Polyps | GI::Stomach::Polyp::Adenoma::Gastric_Adenoma_With_Dysplasia_NOS | GI::Stomach::Polyp::Epithelial::Gastric_Fundic_Gland_Polyp | GI::Stomach::Polyp::Hamartoma::Gastric_Peutz_Jeghers_Type_Polyp | GI::Stomach::Benign_Precursors::Oxyntic_Gland_Adenoma
YT_GI_Barretts_Esophagus_Goldblum,YT GI Barretts Esophagus Goldblum,GI,yt_gi_barretts_esophagus_goldblum_v0_1,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_GI_Barretts_Esophagus_Goldblum.mp4,GI::Appendix::Inflammatory::Chronic_Granulomatous::Appendiceal_Crohn_Disease | GI::Small_Intestine::Inflammatory::Malabsorption::Small_Intestinal_CVID_Enteropathy
YT_GI_Colon_Cancer_Dhall,YT GI Colon Cancer Dhall,GI,yt_gi_colon_cancer_dhall_v0_1,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_GI_Colon_Cancer_Dhall.mp4,GI::Colon::Neoplastic::IBD_Associated::Colonic_Dysplasia_And_IBD_Related_Adenocarcinoma | GI::Small_Intestine::Inflammatory::Malabsorption::Small_Intestinal_CVID_Enteropathy
YT_GI_Colorectal_Polyp_Pai,YT GI Colorectal Polyp Pai,GI,yt_gi_colorectal_polyp_pai_v0_1,3,3,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_GI_Colorectal_Polyp_Pai.mp4,GI::Appendix::Inflammatory::Chronic_Granulomatous::Appendiceal_Crohn_Disease | GI::Colon::Neoplastic::IBD_Associated::Colonic_Dysplasia_And_IBD_Related_Adenocarcinoma | GI::Small_Intestine::Inflammatory::Malabsorption::Small_Intestinal_CVID_Enteropathy
YT_GI_Colorectal_Polyps_Pai,YT GI Colorectal Polyps Pai,GI,yt_gi_colorectal_polyps_pai_v0_1,3,4,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_GI_Colorectal_Polyps_Pai.mp4,GI::Appendix::Neoplastic::Mucinous::Appendiceal_Mucinous_Adenocarcinoma_Invasive | GI::Colon::Polyp::Serrated::Colorectal_Hyperplastic_Polyp_Overview | GI::Syndrome::Polyposis::Serrated::Serrated_Polyposis
YT_GI_Gastric_Polyps_Montgomery,YT GI Gastric Polyps Montgomery,GI,yt_gi_gastric_polyps_montgomery_v0_1,2,3,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_GI_Gastric_Polyps_Montgomery.mp4,GI::Stomach::Inflammatory::Gastritis::Gastric_Autoimmune_Metaplastic_Atrophic_Gastritis_AMAG | GI::Stomach::Polyp::Hamartoma::Gastric_Juvenile_Type_Polyp
